GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils.adapters,TimingTranslatorAdapterR5,0,21,0,2,0,6,0,3,0,2
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils.adapters,RepeatComponentTranslatorAdapterR5,0,27,1,3,0,6,1,3,0,2
FHIR Dosage Support - R5,io.github.jy95.fds.r5,DosageAPIR5,0,29,0,0,0,8,0,5,0,5
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,DoseQuantityR5,0,28,0,0,0,9,0,2,0,2
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,DoseRangeR5,0,26,0,0,0,8,0,2,0,2
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,FrequencyFrequencyMaxPeriodPeriodMaxR5,0,48,0,0,0,10,0,8,0,8
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,MaxDosePerLifetimeR5,0,29,0,0,0,6,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,FrequencyFrequencyMaxR5,0,31,0,0,0,9,0,5,0,5
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,BoundsRangeR5,0,29,0,0,0,6,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,OffsetWhenR5,0,91,0,10,0,20,0,12,0,7
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,BoundsPeriodR5,0,63,0,0,0,19,0,7,0,7
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,PeriodPeriodMaxR5,0,88,0,0,0,19,0,6,0,6
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,DurationDurationMaxR5,0,73,0,0,0,15,0,5,0,5
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,BoundsDurationR5,0,29,0,0,0,6,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,RateQuantityR5,0,43,0,0,0,11,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,RateRangeR5,0,43,0,0,0,11,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,MaxDosePerPeriodR5,0,63,0,0,0,16,0,7,0,7
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,CountCountMaxR5,5,53,3,3,0,12,2,5,0,4
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,RateRatioR5,0,43,0,0,0,11,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,AsNeededR5,0,97,0,6,0,22,0,12,0,9
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,AdditionalInstructionR5,0,25,0,0,0,8,0,2,0,2
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,TimingEventR5,0,56,0,0,0,16,0,5,0,5
FHIR Dosage Support - R5,io.github.jy95.fds.r5.translators,MaxDosePerAdministrationR5,0,29,0,0,0,7,0,3,0,3
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils.maps,TimingTranslatorsMapR5,0,65,0,0,0,8,0,6,0,6
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils.maps,DosageTranslatorsMapR5,0,223,0,0,0,21,0,19,0,19
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils.maps,TimingRepeatTranslatorsMapR5,0,171,0,0,0,19,0,14,0,14
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils,TranslatorsMapR5,0,81,0,0,0,14,0,9,0,9
FHIR Dosage Support - R5,io.github.jy95.fds.r5.utils,DosageMarkdownR5,0,78,0,2,0,22,0,6,0,5
FHIR Dosage Support - R5,io.github.jy95.fds.r5.config,FDSConfigR5,0,39,0,0,0,6,0,6,0,6
FHIR Dosage Support - R5,io.github.jy95.fds.r5.config,DefaultImplementationsR5,0,78,1,15,0,22,1,13,0,6
FHIR Dosage Support - R5,io.github.jy95.fds.r5.functions,RatioToStringR5,0,23,0,0,0,7,0,6,0,6
FHIR Dosage Support - R5,io.github.jy95.fds.r5.functions,QuantityToStringR5,0,44,0,4,0,11,0,12,0,10
FHIR Dosage Support - R5,io.github.jy95.fds.r5.functions,RangeToStringR5,0,23,0,0,0,7,0,6,0,6
